ID,Thuật toán,Tham số,Chi phí tốt nhất,Chi phí trung bình,Thời gian (s)
55,ACO,alpha=2.0, beta=3.0, min_max_aco=False, local_search=True, elitist_ants=0,982.63,1120.78,1.30
56,ACO,alpha=2.0, beta=3.0, min_max_aco=False, local_search=True, elitist_ants=2,982.63,1122.03,1.38
57,ACO,alpha=2.0, beta=3.0, min_max_aco=False, local_search=True, elitist_ants=5,982.63,1165.78,1.36
58,ACO,alpha=2.0, beta=3.0, min_max_aco=False, local_search=False, elitist_ants=0,986.39,1091.03,1.23
59,ACO,alpha=2.0, beta=3.0, min_max_aco=False, local_search=False, elitist_ants=2,999.21,1122.32,1.21
60,ACO,alpha=2.0, beta=3.0, min_max_aco=False, local_search=False, elitist_ants=5,982.63,1134.19,1.22
61,ACO,alpha=2.0, beta=5.0, min_max_aco=True, local_search=True, elitist_ants=0,982.63,1009.05,1.34
62,ACO,alpha=2.0, beta=5.0, min_max_aco=True, local_search=True, elitist_ants=2,982.63,1005.72,1.38
63,ACO,alpha=2.0, beta=5.0, min_max_aco=True, local_search=True, elitist_ants=5,982.63,1005.92,1.36
64,ACO,alpha=2.0, beta=5.0, min_max_aco=True, local_search=False, elitist_ants=0,982.63,1006.80,1.27
65,ACO,alpha=2.0, beta=5.0, min_max_aco=True, local_search=False, elitist_ants=2,986.39,1008.15,1.25
66,ACO,alpha=2.0, beta=5.0, min_max_aco=True, local_search=False, elitist_ants=5,982.63,1010.80,1.20
67,ACO,alpha=2.0, beta=5.0, min_max_aco=False, local_search=True, elitist_ants=0,986.27,1092.55,1.36
68,ACO,alpha=2.0, beta=5.0, min_max_aco=False, local_search=True, elitist_ants=2,986.27,1108.69,1.40
69,ACO,alpha=2.0, beta=5.0, min_max_aco=False, local_search=True, elitist_ants=5,986.27,1114.14,1.39
70,ACO,alpha=2.0, beta=5.0, min_max_aco=False, local_search=False, elitist_ants=0,986.39,1083.19,1.25
71,ACO,alpha=2.0, beta=5.0, min_max_aco=False, local_search=False, elitist_ants=2,986.39,1080.24,1.27
72,ACO,alpha=2.0, beta=5.0, min_max_aco=False, local_search=False, elitist_ants=5,982.63,1086.80,1.25
